grid_id,year,grid_row,grid_col,grid_row_norm,grid_col_norm,dist_to_centre_norm,built_percent,ndvi_mean,nighttime_mean,nighttime_norm,built_change,ndvi_change,night_change,built_change_avg,ndvi_change_avg,night_change_avg,night_change_avg_norm,ntl_vs_built,built_percent_lag1,built_percent_lag2,nighttime_norm_lag1,nighttime_norm_lag2,built_change_avg_lag2,neighbor_built_avg,neighbor_ntl_avg,neighbor_ndvi_avg,center_lat,center_lon,area_name,dist_to_highway,road_density,intersection_density,population_density,population_density_norm,growth_class
grid_0_1,2023,0,1,0,0.111111111,0.895806416,0.527207,0.329022,30.580981,0.730549322,0.017664,0.007842,2.046052,0.014523667,-0.002485,2.221821333,0.23465288,1.385694682,0.509543,0.502362,0.64917581,0.508907389,0.01276,0.5208138,0.810474047,0.3053508,23.185,72.6265,Kudasan,1317.267744,0.02436718,7.65E-05,6.547572374,0.127874051,high
grid_0_1,2024,0,1,0,0.111111111,0.895806416,0.51983,0.33535,37.356037,1,-0.007377,0.006328,6.775056,0.005822667,0.004750667,4.116003667,1,1.923702126,0.527207,0.509543,0.730549322,0.64917581,0.014745333,0.5167056,0.970148684,0.310551,23.185,72.6265,Kudasan,1317.267744,0.02436718,7.65E-05,6.547572374,0.127874051,high
grid_0_2,2016,0,2,0,0.222222222,0.808901099,0.400583,0.175919,8.631964,0,0,-0.012592,0.691308,0,-0.012592,0.691308,0,0,0.400583,0.400583,0,0,0,0.2908028,0,0.2003964,23.185,72.6395,Randesan,110.2585034,0.031233535,9.56E-05,13.87759209,0.300869811,high
grid_0_2,2017,0,2,0,0.222222222,0.808901099,0.430486,0.345129,12.105985,0.119675827,0.029903,0,3.474021,0.0149515,-0.006296,2.0826645,0.342400661,0.278001025,0.400583,0.400583,0,0,0,0.3124004,0.114205916,0.4311828,23.185,72.6395,Randesan,110.2585034,0.031233535,9.56E-05,14.7283268,0.320947997,high
grid_0_2,2018,0,2,0,0.222222222,0.808901099,0.463224,0.33318,11.827708,0.110089521,0.032738,-0.011949,-0.278277,0.020880333,-0.008180333,1.295684,0.148731646,0.23765885,0.430486,0.400583,0.119675827,0,0,0.3404724,0.094339185,0.427481,23.185,72.6395,Randesan,110.2585034,0.031233535,9.56E-05,13.89895344,0.30137396,high
grid_0_2,2019,0,2,0,0.222222222,0.808901099,0.469529,0.274224,13.480863,0.167038714,0.006305,-0.058956,1.653155,0.022982,-0.023635,1.616299667,0.227632356,0.355757276,0.463224,0.430486,0.110089521,0.119675827,0.0149515,0.3226736,0.201086236,0.3406702,23.185,72.6395,Randesan,110.2585034,0.031233535,9.56E-05,13.44699192,0.290707218,high
grid_0_2,2020,0,2,0,0.222222222,0.808901099,0.499068,0.313529,18.908741,0.354022554,0.029539,0.039305,5.427878,0.022860667,-0.010533333,2.267585333,0.38790806,0.709365948,0.469529,0.463224,0.167038714,0.110089521,0.020880333,0.3335262,0.27855699,0.4124822,23.185,72.6395,Randesan,110.2585034,0.031233535,9.56E-05,17.25750351,0.380639084,high
grid_0_2,2021,0,2,0,0.222222222,0.808901099,0.530283,0.297695,23.396034,0.508604378,0.031215,-0.015834,4.487293,0.022353,-0.011828333,3.856108667,0.778829754,0.95911696,0.499068,0.469529,0.354022554,0.167038714,0.022982,0.3483856,0.458318121,0.3854938,23.185,72.6395,Randesan,110.2585034,0.031233535,9.56E-05,6.547572374,0.127874051,high
grid_0_2,2022,0,2,0,0.222222222,0.808901099,0.556183,0.275642,25.280199,0.573511587,0.0259,-0.022053,1.884165,0.028884667,0.000472667,3.933112,0.797779601,1.031154414,0.530283,0.499068,0.508604378,0.354022554,0.022860667,0.372204,0.780028572,0.3730666,23.185,72.6395,Randesan,110.2585034,0.031233535,9.56E-05,6.547572374,0.127874051,high
grid_0_2,2023,0,2,0,0.222222222,0.808901099,0.572568,0.265982,29.32122,0.712719879,0.016385,-0.00966,4.041021,0.0245,-0.015849,3.470826333,0.684015143,1.244775527,0.556183,0.530283,0.573511587,0.508604378,0.022353,0.3882322,0.842401355,0.3832426,23.185,72.6395,Randesan,110.2585034,0.031233535,9.56E-05,6.547572374,0.127874051,high
grid_0_2,2024,0,2,0,0.222222222,0.808901099,0.554401,0.275472,37.660558,1,-0.018167,0.00949,8.339338,0.008039333,-0.007407667,4.754841333,1,1.803745297,0.572568,0.556183,0.712719879,0.573511587,0.028884667,0.3847952,0.970148684,0.4010528,23.185,72.6395,Randesan,110.2585034,0.031233535,9.56E-05,6.547572374,0.127874051,high
grid_0_3,2016,0,3,0,0.333333333,0.745355992,0.19595,0.177687,3.641914,0,0,-0.01115,-0.226069,0,-0.01115,-0.226069,0,0,0.19595,0.19595,0,0,0,0.256212,0,0.193669,23.185,72.6525,Randesan,1532.631005,0.001537519,5.10E-06,9.136800766,0.188982418,medium
