grid_id,area_name,year,center_lat,center_lon,ndvi_mean,built_percent,nighttime_mean,growth_class
grid_0_8,Nabhoi,2017,23.185,72.7175,0.424532,0.131662,2.058268,low
grid_0_8,Nabhoi,2018,23.185,72.7175,0.422587,0.145324,2.212721,low
grid_0_8,Nabhoi,2019,23.185,72.7175,0.400259,0.153315,2.516606,medium
grid_0_8,Nabhoi,2020,23.185,72.7175,0.417773,0.143198,2.737316,low
grid_0_8,Nabhoi,2021,23.185,72.7175,0.411981,0.145127,6.147647,low
grid_0_8,Nabhoi,2022,23.185,72.7175,0.430453,0.150616,7.49362,low
grid_0_8,Nabhoi,2023,23.185,72.7175,0.450953,0.172622,8.538077,medium
grid_0_8,Nabhoi,2024,23.185,72.7175,0.439716,0.172614,7.149291,medium
grid_0_9,kalyanpura,2016,23.185,72.7305,0.252386,0.137382,1.273892,low
grid_0_9,kalyanpura,2017,23.185,72.7305,0.461469,0.148353,1.450351,low
grid_0_9,kalyanpura,2018,23.185,72.7305,0.4693,0.165403,1.503881,low
grid_0_9,kalyanpura,2019,23.185,72.7305,0.45666,0.172973,1.62025,low
grid_0_9,kalyanpura,2020,23.185,72.7305,0.464105,0.176519,1.6674,low
grid_0_9,kalyanpura,2021,23.185,72.7305,0.45791,0.181703,2.646735,low
grid_0_9,kalyanpura,2022,23.185,72.7305,0.460927,0.208119,2.694575,medium
grid_0_9,kalyanpura,2023,23.185,72.7305,0.489872,0.214761,3.100658,medium
grid_0_9,kalyanpura,2024,23.185,72.7305,0.47179,0.204856,3.339544,medium
grid_1_0,somnath park society,2016,23.195,72.6135,0.154421,0.495805,10.084543,high
grid_1_0,somnath park society,2017,23.195,72.6135,0.28433,0.53941,15.352845,high
grid_1_0,somnath park society,2018,23.195,72.6135,0.267442,0.55173,15.403474,high
grid_1_0,somnath park society,2019,23.195,72.6135,0.221367,0.571316,21.176273,high
grid_1_0,somnath park society,2020,23.195,72.6135,0.229277,0.582208,23.508235,high
grid_1_0,somnath park society,2021,23.195,72.6135,0.223412,0.596573,26.314278,high
grid_1_0,somnath park society,2022,23.195,72.6135,0.219449,0.600114,30.248935,high
grid_1_0,somnath park society,2023,23.195,72.6135,0.213894,0.628768,33.825347,high
grid_1_0,somnath park society,2024,23.195,72.6135,0.208654,0.625408,38.062746,high
grid_1_1,Infocity,2016,23.195,72.6265,0.220622,0.265922,10.895688,high
grid_1_1,Infocity,2017,23.195,72.6265,0.49855,0.278339,13.926441,high
grid_1_1,Infocity,2018,23.195,72.6265,0.505289,0.303494,12.682454,high
grid_1_1,Infocity,2019,23.195,72.6265,0.383403,0.279369,15.511456,high
grid_1_1,Infocity,2020,23.195,72.6265,0.486551,0.292306,15.667673,high
grid_1_1,Infocity,2021,23.195,72.6265,0.448381,0.287963,18.930848,high
grid_1_1,Infocity,2022,23.195,72.6265,0.445226,0.309425,23.710188,high
grid_1_1,Infocity,2023,23.195,72.6265,0.441787,0.322452,27.013201,high
grid_1_1,Infocity,2024,23.195,72.6265,0.472355,0.321353,30.565827,high
grid_1_2,Infocity,2016,23.195,72.6395,0.195054,0.38473,9.761211,high
grid_1_2,Infocity,2017,23.195,72.6395,0.418012,0.415423,11.675131,high
grid_1_2,Infocity,2018,23.195,72.6395,0.419406,0.436744,10.465006,high
grid_1_2,Infocity,2019,23.195,72.6395,0.351257,0.412689,12.123233,high
grid_1_2,Infocity,2020,23.195,72.6395,0.406995,0.410296,11.457951,high
grid_1_2,Infocity,2021,23.195,72.6395,0.36124,0.450285,19.115069,high
grid_1_2,Infocity,2022,23.195,72.6395,0.337966,0.510584,36.252378,high
grid_1_2,Infocity,2023,23.195,72.6395,0.340527,0.536001,32.988291,high
grid_1_2,Infocity,2024,23.195,72.6395,0.346521,0.526344,32.298397,high
grid_1_3,Dholakuva,2016,23.195,72.6525,0.216092,0.21831,5.01151,medium
grid_1_3,Dholakuva,2017,23.195,72.6525,0.485566,0.222212,6.044654,medium
grid_1_3,Dholakuva,2018,23.195,72.6525,0.476954,0.252572,5.918975,medium
grid_1_3,Dholakuva,2019,23.195,72.6525,0.37511,0.229361,6.642103,medium
grid_1_3,Dholakuva,2020,23.195,72.6525,0.466467,0.239664,6.894817,medium
grid_1_3,Dholakuva,2021,23.195,72.6525,0.444339,0.240938,8.992904,medium
grid_1_3,Dholakuva,2022,23.195,72.6525,0.427684,0.252402,11.909939,medium
grid_1_3,Dholakuva,2023,23.195,72.6525,0.460843,0.257347,11.653268,medium
grid_1_3,Dholakuva,2024,23.195,72.6525,0.496017,0.25227,12.189313,medium
grid_1_4,Indroda,2016,23.195,72.6655,0.179108,0.054727,2.579036,low
grid_1_4,Indroda,2017,23.195,72.6655,0.410174,0.057154,3.587918,low
grid_1_4,Indroda,2018,23.195,72.6655,0.375957,0.070906,3.912903,medium
grid_1_4,Indroda,2019,23.195,72.6655,0.299558,0.061065,4.472503,medium
grid_1_4,Indroda,2020,23.195,72.6655,0.390198,0.063855,4.740876,low
grid_1_4,Indroda,2021,23.195,72.6655,0.392951,0.064888,5.227266,low
grid_1_4,Indroda,2022,23.195,72.6655,0.365348,0.06573,5.525102,medium
grid_1_4,Indroda,2023,23.195,72.6655,0.391439,0.062056,6.223536,low
grid_1_4,Indroda,2024,23.195,72.6655,0.44937,0.062125,6.841913,low
grid_1_5,sector 1,2016,23.195,72.6785,0.2455,0.057972,1.553612,low
grid_1_5,sector 1,2017,23.195,72.6785,0.529261,0.064237,2.031609,low
grid_1_5,sector 1,2018,23.195,72.6785,0.521051,0.07864,2.341185,low
grid_1_5,sector 1,2019,23.195,72.6785,0.42188,0.073197,2.577815,low
grid_1_5,sector 1,2020,23.195,72.6785,0.525719,0.083895,2.772418,low
grid_1_5,sector 1,2021,23.195,72.6785,0.493682,0.082806,3.54795,low
grid_1_5,sector 1,2022,23.195,72.6785,0.460336,0.104009,3.646338,medium
grid_1_5,sector 1,2023,23.195,72.6785,0.505135,0.112213,6.04929,low
grid_1_5,sector 1,2024,23.195,72.6785,0.537403,0.109831,8.160998,medium
grid_1_6,Sector 2,2016,23.195,72.6915,0.238033,0.049215,1.35989,low
grid_1_6,Sector 2,2017,23.195,72.6915,0.421064,0.052078,1.711264,low
grid_1_6,Sector 2,2018,23.195,72.6915,0.473159,0.052876,1.972563,low
grid_1_6,Sector 2,2019,23.195,72.6915,0.43884,0.060728,2.164965,low
grid_1_6,Sector 2,2020,23.195,72.6915,0.436756,0.053094,2.258548,low
grid_1_6,Sector 2,2021,23.195,72.6915,0.42452,0.056818,3.040823,low
grid_1_6,Sector 2,2022,23.195,72.6915,0.440411,0.059022,3.115819,low
grid_1_6,Sector 2,2023,23.195,72.6915,0.480184,0.059339,4.875303,low
grid_1_6,Sector 2,2024,23.195,72.6915,0.443829,0.056628,5.980646,low
grid_1_7,Sector 4,2016,23.195,72.7045,0.221921,0.068235,1.500042,low
grid_1_7,Sector 4,2017,23.195,72.7045,0.39671,0.081439,1.844115,low
grid_1_7,Sector 4,2018,23.195,72.7045,0.417251,0.079921,2.101695,low
grid_1_7,Sector 4,2019,23.195,72.7045,0.376609,0.086915,2.186731,low
grid_1_7,Sector 4,2020,23.195,72.7045,0.394358,0.081345,2.216574,low
grid_1_7,Sector 4,2021,23.195,72.7045,0.407445,0.091853,5.682225,low
grid_1_7,Sector 4,2022,23.195,72.7045,0.400462,0.103867,5.45958,low
grid_1_7,Sector 4,2023,23.195,72.7045,0.429085,0.119253,6.282207,medium
grid_1_7,Sector 4,2024,23.195,72.7045,0.419794,0.11212,5.865363,medium
grid_1_8,por,2016,23.195,72.7175,0.228373,0.161551,2.351092,low
grid_1_8,por,2017,23.195,72.7175,0.42583,0.19714,2.753447,medium
grid_1_8,por,2018,23.195,72.7175,0.413165,0.2215,2.920131,medium
grid_1_8,por,2019,23.195,72.7175,0.400634,0.223891,3.126319,medium
grid_1_8,por,2020,23.195,72.7175,0.415052,0.224642,2.672452,low
grid_1_8,por,2021,23.195,72.7175,0.415548,0.220168,8.159696,low
grid_1_8,por,2022,23.195,72.7175,0.415744,0.225882,9.721275,medium
grid_1_8,por,2023,23.195,72.7175,0.433941,0.252673,10.358108,medium
grid_1_8,por,2024,23.195,72.7175,0.434839,0.264576,8.868051,medium
grid_1_9,por / nabhoi,2016,23.195,72.7305,0.244782,0.130606,1.519673,low
grid_1_9,por / nabhoi,2017,23.195,72.7305,0.442043,0.152229,1.770674,low
grid_1_9,por / nabhoi,2018,23.195,72.7305,0.473884,0.156837,1.778966,low
grid_1_9,por / nabhoi,2019,23.195,72.7305,0.450799,0.159047,1.871125,low
grid_1_9,por / nabhoi,2020,23.195,72.7305,0.45943,0.155297,1.917748,low
grid_1_9,por / nabhoi,2021,23.195,72.7305,0.46187,0.161138,3.188075,low
grid_1_9,por / nabhoi,2022,23.195,72.7305,0.457749,0.171511,3.178457,low
grid_1_9,por / nabhoi,2023,23.195,72.7305,0.486925,0.183523,3.448348,low
grid_1_9,por / nabhoi,2024,23.195,72.7305,0.472425,0.192873,3.926362,medium
grid_2_0,Sargasan,2016,23.205,72.6135,0.19131,0.164387,4.703639,medium
grid_2_0,Sargasan,2017,23.205,72.6135,0.392094,0.19006,7.396194,medium
grid_2_0,Sargasan,2018,23.205,72.6135,0.368935,0.197171,7.612258,medium
grid_2_0,Sargasan,2019,23.205,72.6135,0.300456,0.22851,8.815909,high
grid_2_0,Sargasan,2020,23.205,72.6135,0.331646,0.231398,9.863016,medium
grid_2_0,Sargasan,2021,23.205,72.6135,0.319674,0.241353,11.44329,high
grid_2_0,Sargasan,2022,23.205,72.6135,0.305955,0.284129,12.755949,high
grid_2_0,Sargasan,2023,23.205,72.6135,0.314755,0.358281,16.211293,high
grid_2_0,Sargasan,2024,23.205,72.6135,0.308461,0.405173,20.469035,high
grid_2_1,Sector 3B,2016,23.205,72.6265,0.156743,0.554674,8.811421,high
grid_2_1,Sector 3B,2017,23.205,72.6265,0.283588,0.606136,13.693959,high
grid_2_1,Sector 3B,2018,23.205,72.6265,0.290384,0.602258,12.029587,high
grid_2_1,Sector 3B,2019,23.205,72.6265,0.252954,0.594175,13.443728,high
grid_2_1,Sector 3B,2020,23.205,72.6265,0.275634,0.587314,12.420978,high
grid_2_1,Sector 3B,2021,23.205,72.6265,0.275628,0.602445,14.401689,high
grid_2_1,Sector 3B,2022,23.205,72.6265,0.282212,0.606433,14.891829,high
grid_2_1,Sector 3B,2023,23.205,72.6265,0.289841,0.610602,16.783972,high
grid_2_1,Sector 3B,2024,23.205,72.6265,0.284293,0.603533,18.450179,high
grid_2_2,Sector 6,2016,23.205,72.6395,0.139309,0.635308,11.779658,high
grid_2_2,Sector 6,2017,23.205,72.6395,0.252081,0.690791,15.18292,high
grid_2_2,Sector 6,2018,23.205,72.6395,0.253823,0.68528,12.953764,high
grid_2_2,Sector 6,2019,23.205,72.6395,0.220761,0.671983,14.431832,high
grid_2_2,Sector 6,2020,23.205,72.6395,0.242554,0.665325,13.892754,high
grid_2_2,Sector 6,2021,23.205,72.6395,0.242298,0.685812,15.310872,high
grid_2_2,Sector 6,2022,23.205,72.6395,0.239939,0.679943,17.333838,high
grid_2_2,Sector 6,2023,23.205,72.6395,0.249864,0.690822,18.268001,high
grid_2_2,Sector 6,2024,23.205,72.6395,0.246996,0.67207,19.80573,high
grid_2_3,Sector 8,2016,23.205,72.6525,0.179451,0.42792,11.219453,high
grid_2_3,Sector 8,2017,23.205,72.6525,0.356194,0.462277,13.056559,high
grid_2_3,Sector 8,2018,23.205,72.6525,0.345821,0.486724,12.510451,high
grid_2_3,Sector 8,2019,23.205,72.6525,0.29493,0.453717,13.770297,high
grid_2_3,Sector 8,2020,23.205,72.6525,0.339078,0.458096,14.000141,high
grid_2_3,Sector 8,2021,23.205,72.6525,0.335073,0.47416,14.404091,medium
grid_2_3,Sector 8,2022,23.205,72.6525,0.329138,0.49695,15.927807,high
grid_2_3,Sector 8,2023,23.205,72.6525,0.344803,0.505609,16.174395,high
grid_2_3,Sector 8,2024,23.205,72.6525,0.363217,0.494952,16.513628,high
grid_2_4,Sector 7,2016,23.205,72.6655,0.168397,0.119171,7.26574,medium
grid_2_4,Sector 7,2017,23.205,72.6655,0.280093,0.139631,8.096041,medium
grid_2_4,Sector 7,2018,23.205,72.6655,0.243353,0.146458,8.217475,medium
grid_2_4,Sector 7,2019,23.205,72.6655,0.271305,0.13689,9.677037,medium
grid_2_4,Sector 7,2020,23.205,72.6655,0.225102,0.143554,10.489656,medium
grid_2_4,Sector 7,2021,23.205,72.6655,0.348387,0.148516,9.986588,low
grid_2_4,Sector 7,2022,23.205,72.6655,0.353918,0.155225,10.479423,medium
grid_2_4,Sector 7,2023,23.205,72.6655,0.240851,0.150693,11.315259,medium
grid_2_4,Sector 7,2024,23.205,72.6655,0.257284,0.144468,11.320536,medium
grid_2_5,Sector 9,2016,23.205,72.6785,0.189031,0.192819,3.349233,low
grid_2_5,Sector 9,2017,23.205,72.6785,0.382366,0.215744,4.043959,low
grid_2_5,Sector 9,2018,23.205,72.6785,0.340912,0.264915,4.820545,medium
grid_2_5,Sector 9,2019,23.205,72.6785,0.293576,0.258739,5.419867,medium
grid_2_5,Sector 9,2020,23.205,72.6785,0.35654,0.271114,4.978549,low
grid_2_5,Sector 9,2021,23.205,72.6785,0.372408,0.269144,5.577312,low
